# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
       67.9803947309     -233.6320068760
       77.9803947309     -233.6316923790
       87.9803947309     -233.6307860350
       97.9803947309     -233.6294684190
      107.9803947309     -233.6280693720
      117.9803947309     -233.6270500130
      127.9803947309     -233.6268540090
      137.9803947309     -233.6276010220
      147.9803947309     -233.6289087550
      157.9803947309     -233.6302769630
      167.9803947309     -233.6313698990
      177.9803947309     -233.6322022440
      187.9803947309     -233.6325870000
      197.9803947309     -233.6321913370
      207.9803947309     -233.6309568680
      217.9803947309     -233.6290783380
      227.9803947309     -233.6269042930
      237.9803947309     -233.6249659110
      247.9803947309     -233.6239632820
      257.9803947309     -233.6244987310
      267.9803947309     -233.6260713290
      277.9803947309     -233.6279135330
      287.9803947309     -233.6295065980
      297.9803947309     -233.6305666460
      307.9803947309     -233.6310722560
      317.9803947309     -233.6311619660
      327.9803947309     -233.6308701970
      337.9803947309     -233.6300906170
      347.9803947309     -233.6289344860
      357.9803947309     -233.6277748610
      367.9803947309     -233.6271822340
      377.9803947309     -233.6274924120
      387.9803947309     -233.6285382830
      397.9803947309     -233.6298296100
      407.9803947309     -233.6309552870
      417.9803947309     -233.6317203800
      427.9803947309     -233.6320068750
