         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.6352922007
           0.3490658504            2.3880128942
           0.5235987756            4.8157968602
           0.6981317008            7.2870932353
           0.8726646260            9.1183557571
           1.0471975512            9.7596682289
           1.2217304764            9.0126190013
           1.3962634016            7.0988238914
           1.5707963268            4.5917997142
           1.7453292520            2.1883383790
           1.9198621772            0.5203346894
           2.0943951024            0.0057550956
           2.2689280276            0.7538886548
           2.4434609528            2.5708737082
           2.6179938780            4.9950528630
           2.7925268032            7.4086381258
           2.9670597284            9.1630995256
           3.1415926536            9.7590013520
           3.3161255788            9.0298422803
           3.4906585040            7.1792088206
           3.6651914292            4.7222030413
           3.8397243544            2.3096706038
           4.0142572796            0.5844572725
           4.1887902048            0.0014755308
           4.3633231300            0.7027964275
           4.5378560552            2.5031331864
           4.7123889804            4.9297566815
           4.8869219056            7.3511396789
           5.0614548308            9.1287369835
           5.2359877560            9.7603035999
           5.4105206812            9.0606315171
           5.5850536064            7.2253782357
           5.7595865316            4.7800323010
           5.9341194568            2.3770278027
           6.1086523820            0.6342131202
           6.2831853072            0.0001312749
