         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.4121220872
           0.3490658504            1.4847543013
           0.5235987756            2.8335418416
           0.6981317008            4.0576181386
           0.8726646260            4.8754797229
           1.0471975512            5.1635626949
           1.2217304764            4.8957223268
           1.3962634016            4.0962077354
           1.5707963268            2.8833134424
           1.7453292520            1.5326722993
           1.9198621772            0.4422313195
           2.0943951024            0.0006537494
           2.2689280276            0.3801093674
           2.4434609528            1.4193137174
           2.6179938780            2.7495836072
           2.7925268032            3.9816860571
           2.9670597284            4.8316391262
           3.1415926536            5.1615121794
           3.3161255788            4.9335295247
           3.4906585040            4.1616194389
           3.6651914292            2.9492791263
           3.8397243544            1.5722779646
           4.0142572796            0.4488869617
           4.1887902048            0.0002257930
           4.3633231300            0.4178745573
           4.5378560552            1.5230629698
           4.7123889804            2.8989299155
           4.8869219056            4.1235838225
           5.0614548308            4.9146206747
           5.2359877560            5.1628538099
           5.4105206812            4.8535646756
           5.5850536064            4.0211893280
           5.7595865316            2.7990742795
           5.9341194568            1.4660974993
           6.1086523820            0.4088349614
           6.2831853072            0.0000630119
