         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            1.6226980639
           0.3490658504            6.2649598854
           0.5235987756           13.2904666935
           0.6981317008           21.7582708446
           0.8726646260           30.5343270577
           1.0471975512           38.5079412470
           1.2217304764           44.9914057328
           1.3962634016           49.7603768030
           1.5707963268           52.7698560157
           1.7453292520           53.8890068363
           1.9198621772           52.6803054665
           2.0943951024           49.2347753609
           2.2689280276           44.4410904606
           2.4434609528           39.4575845459
           2.6179938780           35.2469023910
           2.7925268032           32.3324400183
           2.9670597284           30.7685531511
           3.1415926536           30.3000642073
           3.3161255788           30.7578594901
           3.4906585040           32.2716780750
           3.6651914292           35.1015520934
           3.8397243544           39.2513567829
           4.0142572796           44.2261145320
           4.1887902048           49.0711122018
           4.3633231300           52.5943807326
           4.5378560552           53.8644610381
           4.7123889804           52.7633605290
           4.8869219056           49.7395224577
           5.0614548308           44.9517291790
           5.2359877560           38.4686401396
           5.4105206812           30.5166128101
           5.5850536064           21.7666619423
           5.7595865316           13.3068524381
           5.9341194568            6.2733010985
           6.1086523820            1.6239898098
           6.2831853072            0.0001470279
