         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.1969124893
           0.3490658504            0.7381619106
           0.5235987756            1.5586936284
           0.6981317008            2.5384829165
           0.8726646260            3.5063445588
           1.0471975512            4.3017056094
           1.2217304764            4.7456198744
           1.3962634016            4.7868244693
           1.5707963268            4.6176582624
           1.7453292520            4.4802002172
           1.9198621772            4.4286800335
           2.0943951024            4.4731061167
           2.2689280276            4.5924088301
           2.4434609528            4.7746106438
           2.6179938780            5.0100654712
           2.7925268032            5.2576501079
           2.9670597284            5.4470037830
           3.1415926536            5.5046597600
           3.3161255788            5.4271445021
           3.4906585040            5.2363126705
           3.6651914292            5.0056966394
           3.8397243544            4.7904529100
           4.0142572796            4.6200133356
           4.1887902048            4.4974760063
           4.3633231300            4.4360629392
           4.5378560552            4.4473709670
           4.7123889804            4.5388827645
           4.8869219056            4.7032548087
           5.0614548308            4.8068780372
           5.2359877560            4.5251645278
           5.4105206812            3.7490247617
           5.5850536064            2.7055487234
           5.7595865316            1.6397034265
           5.9341194568            0.7645455587
           6.1086523820            0.2000132047
           6.2831853072            0.0000183785
