         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.6950643306
           0.3490658504            2.6514634265
           0.5235987756            5.5222269796
           0.6981317008            8.6947313550
           0.8726646260           11.2721661875
           1.0471975512           12.2294286868
           1.2217304764           11.0737860436
           1.3962634016            8.4720338315
           1.5707963268            5.5890170705
           1.7453292520            3.3394887919
           1.9198621772            1.8158272081
           2.0943951024            0.8137159201
           2.2689280276            1.1087879727
           2.4434609528            3.2012352203
           2.6179938780            6.9488343357
           2.7925268032           11.7187532114
           2.9670597284           16.5805199486
           3.1415926536           20.2117831651
           3.3161255788           20.6266909078
           3.4906585040           17.4156179395
           3.6651914292           13.2073985035
           3.8397243544            9.4145226431
           4.0142572796            6.8453843902
           4.1887902048            5.7846588180
           4.3633231300            5.8208329551
           4.5378560552            6.0179371059
           4.7123889804            6.4778065336
           4.8869219056            7.6369883505
           5.0614548308            9.4127320523
           5.2359877560           10.8662639094
           5.4105206812           10.7266870859
           5.5850536064            8.7270460072
           5.7595865316            5.6692838522
           5.9341194568            2.7296718163
           6.1086523820            0.6999320073
           6.2831853072            0.0000078766
