         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.7240629764
           0.3490658504            2.7922689839
           0.5235987756            5.7581333929
           0.6981317008            8.7996069468
           0.8726646260           10.7745945818
           1.0471975512           10.9550294341
           1.2217304764            9.5970185128
           1.3962634016            7.8250292759
           1.5707963268            6.5254856110
           1.7453292520            6.0791821411
           1.9198621772            6.6122715088
           2.0943951024            8.0691272487
           2.2689280276           10.3198921378
           2.4434609528           13.1403169821
           2.6179938780           16.3768415461
           2.7925268032           19.6813140463
           2.9670597284           21.9514341203
           3.1415926536           21.0148553089
           3.3161255788           16.8059742469
           3.4906585040           11.7491066152
           3.6651914292            7.3931398002
           3.8397243544            4.2718536760
           4.0142572796            2.4092584390
           4.1887902048            1.6648714682
           4.3633231300            1.9747224595
           4.5378560552            3.3615561182
           4.7123889804            5.7468463690
           4.8869219056            8.6641232776
           5.0614548308           11.1865250076
           5.2359877560           12.2537618195
           5.4105206812           11.3006948689
           5.5850536064            8.7892756049
           5.7595865316            5.6504117592
           5.9341194568            2.7483548732
           6.1086523820            0.7268512573
           6.2831853072            0.0004778410
