         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.8371301278
           0.3490658504            3.2077517110
           0.5235987756            6.6505723007
           0.6981317008           10.4113855569
           0.8726646260           13.2846118289
           1.0471975512           14.1280536583
           1.2217304764           12.6242040965
           1.3962634016            9.5405518873
           1.5707963268            6.0595696572
           1.7453292520            3.1868894891
           1.9198621772            1.5242208153
           2.0943951024            1.3247038301
           2.2689280276            2.6059398844
           2.4434609528            5.1921753924
           2.6179938780            8.5482835984
           2.7925268032           11.8169442805
           2.9670597284           13.8760949389
           3.1415926536           13.8540381147
           3.3161255788           11.6157627284
           3.4906585040            8.0345914236
           3.6651914292            4.3453361661
           3.8397243544            1.4870936218
           4.0142572796            0.0851817175
           4.1887902048            0.4348431631
           4.3633231300            2.6317432971
           4.5378560552            6.5055370631
           4.7123889804           11.4668916354
           4.8869219056           16.4556222948
           5.0614548308           19.9424068797
           5.2359877560           20.4093205235
           5.4105206812           17.6558012921
           5.5850536064           12.9293974510
           5.7595865316            7.8359828613
           5.9341194568            3.5874803810
           6.1086523820            0.8975980151
           6.2831853072            0.0000183785
