         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.3567765502
           0.3490658504            1.3202431058
           0.5235987756            2.6803255463
           0.6981317008            4.2051160951
           0.8726646260            5.7209589403
           1.0471975512            7.1551697439
           1.2217304764            8.5460755529
           1.3962634016            9.9739457744
           1.5707963268           11.4896862251
           1.7453292520           12.9644321211
           1.9198621772           13.8252967676
           2.0943951024            6.8434205163
           2.2689280276            5.4564319531
           2.4434609528            4.2709373766
           2.6179938780            3.2671825257
           2.7925268032            2.3592137862
           2.9670597284            1.4914388240
           3.1415926536            0.7053877959
           3.3161255788            0.1442213327
           3.4906585040            0.0215422263
           3.6651914292            0.5327559292
           3.8397243544            1.7779990061
           4.0142572796            3.6912716414
           4.1887902048            5.9938087621
           4.3633231300            8.2147584748
           4.5378560552           10.0325548078
           4.7123889804           11.4855064294
           4.8869219056           12.6331859314
           5.0614548308           13.4492437974
           5.2359877560           13.8367203175
           5.4105206812            5.1613835300
           5.5850536064            3.9838599711
           5.7595865316            2.6867238895
           5.9341194568            1.3636951284
           6.1086523820            0.3631276343
           6.2831853072            0.0000367570
