         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.4204317943
           0.3490658504            1.5602479243
           0.5235987756            3.1048268655
           0.6981317008            4.7909281255
           0.8726646260            6.5675933776
           1.0471975512            8.4027258862
           1.2217304764           10.2577360541
           1.3962634016           12.0800482468
           1.5707963268            8.8685788281
           1.7453292520            9.1043985998
           1.9198621772            9.4906306330
           2.0943951024           10.1122203500
           2.2689280276           10.9638379860
           2.4434609528           11.4630977881
           2.6179938780           10.5854115639
           2.7925268032            9.8557457708
           2.9670597284            9.3299395396
           3.1415926536            8.9192194693
           3.3161255788            8.5337567076
           3.4906585040            8.1408952873
           3.6651914292            7.7753180616
           3.8397243544            7.5808919205
           4.0142572796            7.6850244959
           4.1887902048            8.1116104619
           4.3633231300            8.5960466917
           4.5378560552            8.8918985178
           4.7123889804            9.2258148408
           4.8869219056            9.7292386856
           5.0614548308           10.3772750627
           5.2359877560           11.0320405958
           5.4105206812           11.4865461273
           5.5850536064           11.5726782757
           5.7595865316           11.2699030065
           5.9341194568           10.6581116550
           6.1086523820            9.9443196340
           6.2831853072            9.2629394088
