         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            1.0353527416
           0.3490658504            3.8932592220
           0.5235987756            7.9389654677
           0.6981317008           12.2494822546
           0.8726646260           15.6401446643
           1.0471975512           16.8581192995
           1.2217304764           14.9998771413
           1.3962634016           12.2778717847
           1.5707963268            9.2765867570
           1.7453292520            6.8631642752
           1.9198621772            5.6128067247
           2.0943951024            5.8085639941
           2.2689280276            7.4056555580
           2.4434609528           10.0774035963
           2.6179938780           13.2276332309
           2.7925268032           16.0353165244
           2.9670597284           17.5526900361
           3.1415926536           17.0637353210
           3.3161255788           14.5654960662
           3.4906585040           10.8483422472
           3.6651914292            7.0411784166
           3.8397243544            4.0820562912
           4.0142572796            2.1779492760
           4.1887902048            1.6248483483
           4.3633231300            2.9684662793
           4.5378560552            5.9907027958
           4.7123889804            9.8874329286
           4.8869219056           13.5268929557
           5.0614548308           15.7941617369
           5.2359877560           16.0650870673
           5.4105206812           14.5026494761
           5.5850536064           11.7953390422
           5.7595865316            8.2216976709
           5.9341194568            3.9738148086
           6.1086523820            1.0356888056
           6.2831853072            0.0000367570
