         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1795195802            0.3536312014
           0.3590391604            1.2902625229
           0.5385587406            2.5642626996
           0.7180783208            1.3333811070
           0.8975979010            0.9070288106
           1.0771174812            1.1814460558
           1.2566370614            2.3096574764
           1.4361566416            4.3193620960
           1.6156762218            7.0882273741
           1.7951958021           10.3066071085
           1.9747153823           13.4392905275
           2.1542349625           15.7995728921
           2.3337545427           16.7265292466
           2.5132741229           11.9940027399
           2.6927937031            9.2945425506
           2.8723132833            6.8109798400
           3.0518328635            4.7057700376
           3.2313524437            3.0369629451
           3.4108720239            1.8757122343
           3.5903916041            1.3844497048
           3.7699111843            1.7072417849
           3.9494307645            2.8768179558
           4.1289503447            4.7894447181
           4.3084699249            7.2237346728
           4.4879895051            9.9027684732
           4.6675090853           14.6902073095
           4.8470286655           15.6263319095
           5.0265482457           14.9544796233
           5.2060678259           12.8527039747
           5.3855874062            9.8733707513
           5.5651069864            6.6888940966
           5.7446265666            3.8427183497
           5.9241461468            1.6952485015
           6.1036657270            0.4115602302
           6.2831853072            0.0000000000
