         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.8030275102
           0.3490658504            3.0379343801
           0.5235987756            6.3327949254
           0.6981317008            9.9642182974
           0.8726646260           12.8513124597
           1.0471975512           14.0542613593
           1.2217304764           13.1880590715
           1.3962634016           10.6743766266
           1.5707963268            7.3891595424
           1.7453292520            4.2947454093
           1.9198621772            2.1561943842
           2.0943951024            1.4295137844
           2.2689280276            2.2772325532
           2.4434609528            4.5301162206
           2.6179938780            7.6651599640
           2.7925268032           10.8471922783
           2.9670597284           13.0245744463
           3.1415926536           13.3857539599
           3.3161255788           11.9593697713
           3.4906585040            9.6199312500
           3.6651914292            7.6280852805
           3.8397243544            6.6413489197
           4.0142572796            6.6819601515
           4.1887902048            7.6199567329
           4.3633231300            9.4068745620
           4.5378560552           11.9362942531
           4.7123889804           15.0223461691
           4.8869219056           18.1792550752
           5.0614548308           20.5238264488
           5.2359877560           20.7801540000
           5.4105206812           18.1046567478
           5.5850536064           13.3457282145
           5.7595865316            8.1116209639
           5.9341194568            3.7221921532
           6.1086523820            0.9279120364
           6.2831853072            0.0000000000
