         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.6639810377
           0.3490658504            2.6200860776
           0.5235987756            5.8166111512
           0.6981317008            9.5704169482
           0.8726646260           12.6729701308
           1.0471975512           13.9802432673
           1.2217304764           13.0780716315
           1.3962634016           10.4812947416
           1.5707963268            7.1579869053
           1.7453292520            4.1093404858
           1.9198621772            2.0320292448
           2.0943951024            1.3035974367
           2.2689280276            2.1021327165
           2.4434609528            4.3153687107
           2.6179938780            7.4626079009
           2.7925268032           10.6733553072
           2.9670597284           12.8894058371
           3.1415926536           13.2849400163
           3.3161255788           11.8752697598
           3.4906585040            9.5203854229
           3.6651914292            7.5232044376
           3.8397243544            6.0867777121
           4.0142572796            4.3951550259
           4.1887902048            3.9429678108
           4.3633231300            5.3365700081
           4.5378560552            8.3658507407
           4.7123889804           12.3628959720
           4.8869219056           16.2595184593
           5.0614548308           18.7809540053
           5.2359877560           18.8535490764
           5.4105206812           16.4377767722
           5.5850536064           12.3121765657
           5.7595865316            7.6150969327
           5.9341194568            3.5118449810
           6.1086523820            0.8600717456
           6.2831853072            0.0000078765
