         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.2953083475
           0.3490658504            1.0021296664
           0.5235987756            1.9426204727
           0.6981317008            2.4311314783
           0.8726646260            1.6285345501
           1.0471975512            1.0245068017
           1.2217304764            0.9571601048
           1.3962634016            1.6035581700
           1.5707963268            2.9133885433
           1.7453292520            4.8588918148
           1.9198621772            7.0780010521
           2.0943951024            8.9569846593
           2.2689280276            4.2248939855
           2.4434609528            4.7311402427
           2.6179938780            5.3583774099
           2.7925268032            5.1142032976
           2.9670597284            3.7149247696
           3.1415926536            2.5476091541
           3.3161255788            1.8375112114
           3.4906585040            1.7280331182
           3.6651914292            2.2645330103
           3.8397243544            3.3840461500
           4.0142572796            4.8071353361
           4.1887902048            5.6870348567
           4.3633231300            4.8090151941
           4.5378560552            4.3736705605
           4.7123889804            3.9694538533
           4.8869219056            3.9116613505
           5.0614548308            4.3413349043
           5.2359877560            5.2150356196
           5.4105206812            6.2845093574
           5.5850536064            7.1759033164
           5.7595865316            8.2399632735
           5.9341194568            9.7001639002
           6.1086523820           11.2571719577
           6.2831853072            0.0000315060
