         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0042086763
           0.1745329252            0.7244436739
           0.3490658504            2.7527762150
           0.5235987756            5.6691473262
           0.6981317008            8.8153809500
           0.8726646260           11.3445564695
           1.0471975512           12.4369928291
           1.2217304764           11.6714312019
           1.3962634016            9.2859361621
           1.5707963268            6.0703657126
           1.7453292520            2.9794251158
           1.9198621772            0.7970781275
           2.0943951024            0.0000315060
           2.2689280276            0.7402544341
           2.4434609528            2.8520857472
           2.6179938780            5.8688953554
           2.7925268032            9.0527733962
           2.9670597284           11.5047670964
           3.1415926536           12.4450137312
           3.3161255788           11.5582170225
           3.4906585040            9.1307743714
           3.6651914292            5.9343543179
           3.8397243544            2.8855109858
           4.0142572796            0.7484276151
           4.1887902048            0.0001864105
           4.3633231300            0.7979235385
           4.5378560552            2.9664919035
           4.7123889804            6.0239258711
           4.8869219056            9.2141392430
           5.0614548308           11.6199162692
           5.2359877560           12.4416688444
           5.4105206812           11.3968643032
           5.5850536064            8.8820949014
           5.7595865316            5.7188979230
           5.9341194568            2.7748461669
           6.1086523820            0.7288466372
           6.2831853072            0.0000000000
