         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0043898358
           0.1745329252            0.7739369717
           0.3490658504            2.9312944523
           0.5235987756            5.9897523648
           0.6981317008            9.1805144662
           0.8726646260           11.5870082539
           1.0471975512           12.4446697906
           1.2217304764           11.4748390235
           1.3962634016            9.0028337633
           1.5707963268            5.8143190898
           1.7453292520            2.8077961900
           1.9198621772            0.7158189068
           2.0943951024            0.0010055664
           2.2689280276            0.8234092655
           2.4434609528            3.0259437222
           2.6179938780            6.1263702500
           2.7925268032            9.3358521653
           2.9670597284           11.6995161738
           3.1415926536           12.4345248592
           3.3161255788           11.3118138608
           3.4906585040            8.7649634761
           3.6651914292            5.6158418025
           3.8397243544            2.7099936948
           4.0142572796            0.7009165696
           4.1887902048            0.0004515860
           4.3633231300            0.7532033994
           4.5378560552            2.8188154129
           4.7123889804            5.7729438376
           4.8869219056            8.9327670486
           5.0614548308           11.4288245130
           5.2359877560           12.4431968852
           5.4105206812           11.5909570057
           5.5850536064            9.1645934351
           5.7595865316            5.9690975575
           5.9341194568            2.9210602539
           6.1086523820            0.7715136353
           6.2831853072            0.0000000000
