         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0043609553
           0.1745329252            0.7336145449
           0.3490658504            2.7819166379
           0.5235987756            5.7115360214
           0.6981317008            8.8513791785
           0.8726646260           11.3580541642
           1.0471975512           12.4372501280
           1.2217304764           11.6808462444
           1.3962634016            9.3149610630
           1.5707963268            6.1064742120
           1.7453292520            3.0062734773
           1.9198621772            0.8062962575
           2.0943951024            0.0003150599
           2.2689280276            0.7500974330
           2.4434609528            2.8829274940
           2.6179938780            5.9134605900
           2.7925268032            9.0894910117
           2.9670597284           11.5176635516
           3.1415926536           12.4449559701
           3.3161255788           11.5697350903
           3.4906585040            9.1653128220
           3.6651914292            5.9777039460
           3.8397243544            2.9163238522
           4.0142572796            0.7578820401
           4.1887902048            0.0001811594
           4.3633231300            0.8063015085
           4.5378560552            2.9941226639
           4.7123889804            6.0613917540
           4.8869219056            9.2446449257
           5.0614548308           11.6301478421
           5.2359877560           12.4417712388
           5.4105206812           11.4099314159
           5.5850536064            8.9172240894
           5.7595865316            5.7602547968
           5.9341194568            2.8035980157
           6.1086523820            0.7378022172
           6.2831853072            0.0000000000
