         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0044213418
           0.1745329252            0.7023894752
           0.3490658504            2.6555355768
           0.5235987756            5.3739466241
           0.6981317008            8.1362402761
           0.8726646260           10.1956324805
           1.0471975512           10.9874044728
           1.2217304764           10.3752823083
           1.3962634016            8.7549576962
           1.5707963268            6.9256590484
           1.7453292520            5.6307598928
           1.9198621772            5.0073297004
           2.0943951024            5.2069359526
           2.2689280276            6.8172679122
           2.4434609528            9.9592534772
           2.6179938780           14.1838245263
           2.7925268032           18.6808253172
           2.9670597284           22.4637426566
           3.1415926536           24.3617690143
           3.3161255788           23.2640028900
           3.4906585040           19.8523837406
           3.6651914292           15.3682846559
           3.8397243544           10.8946718178
           4.0142572796            7.3790828739
           4.1887902048            5.4037880555
           4.3633231300            4.9658126711
           4.5378560552            5.4829101192
           4.7123889804            6.6964817912
           4.8869219056            8.5430798576
           5.0614548308           10.2716091954
           5.2359877560           10.9894313587
           5.4105206812           10.2247413974
           5.5850536064            8.1326223373
           5.7595865316            5.3477625140
           5.9341194568            2.6396513026
           6.1086523820            0.7005542508
           6.2831853072            0.0000000000
