         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.7827586513
           0.3490658504            2.9559373941
           0.5235987756            6.0279586388
           0.6981317008            9.2304225930
           0.8726646260           11.6519394909
           1.0471975512           12.5355488427
           1.2217304764           11.5973369704
           1.3962634016            9.1475723195
           1.5707963268            5.9528220839
           1.7453292520            2.9070427102
           1.9198621772            0.7640913473
           2.0943951024            0.0001575300
           2.2689280276            0.7845046087
           2.4434609528            2.9685607974
           2.6179938780            6.0750286003
           2.7925268032            9.3245940220
           2.9670597284           11.7441339184
           3.1415926536           12.5271734982
           3.3161255788           11.4259023316
           3.4906585040            8.8665466912
           3.6651914292            5.6873315382
           3.8397243544            2.7479715503
           4.0142572796            0.7159449309
           4.1887902048            0.0001391515
           4.3633231300            0.7438960024
           4.5378560552            2.8087413700
           4.7123889804            5.7731171206
           4.8869219056            8.9559344593
           5.0614548308           11.4868979443
           5.2359877560           12.5329994824
           5.4105206812           11.6871920775
           5.5850536064            9.2411267560
           5.7595865316            6.0156765505
           5.9341194568            2.9367817471
           6.1086523820            0.7725244528
           6.2831853072            0.0000551355
