         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.7700538575
           0.3490658504            2.9421535198
           0.5235987756            6.0476131308
           0.6981317008            9.2949941366
           0.8726646260           11.7280868633
           1.0471975512           12.5298803886
           1.2217304764           11.4447507951
           1.3962634016            8.8995334714
           1.5707963268            5.7294314284
           1.7453292520            2.7877163671
           1.9198621772            0.7397188321
           2.0943951024            0.0000735140
           2.2689280276            0.7180427053
           2.4434609528            2.7630865530
           2.6179938780            5.7241069147
           2.7925268032            8.9152733431
           2.9670597284           11.4653557180
           3.1415926536           12.5305052576
           3.3161255788           11.7013960317
           3.4906585040            9.2643965612
           3.6651914292            6.0365335214
           3.8397243544            2.9583712324
           4.0142572796            0.7851793622
           4.1887902048            0.0000236295
           4.3633231300            0.7700643595
           4.5378560552            2.9324680508
           4.7123889804            6.0028247287
           4.8869219056            9.2057875279
           5.0614548308           11.6371658033
           5.2359877560           12.5357746357
           5.4105206812           11.6090099427
           5.5850536064            9.1643466381
           5.7595865316            5.9699770999
           5.9341194568            2.9239036703
           6.1086523820            0.7768775316
           6.2831853072            0.0001417770
