         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.4366363795
           0.3490658504            1.6252658029
           0.5235987756            3.2322266206
           0.6981317008            4.8078599742
           0.8726646260            5.9224030425
           1.0471975512            6.2321043803
           1.2217304764            5.6366593909
           1.3962634016            4.2905446095
           1.5707963268            2.6454405298
           1.7453292520            1.2994386449
           1.9198621772            0.8099955868
           2.0943951024            1.5832893111
           2.2689280276            3.7127035967
           2.4434609528            6.9442974719
           2.6179938780           10.6562711796
           2.7925268032           14.0373111323
           2.9670597284           16.2887665278
           3.1415926536           17.0808614565
           3.3161255788           16.6220448543
           3.4906585040           15.3622985163
           3.6651914292           13.6182340959
           3.8397243544           11.3991301096
           4.0142572796            8.6303646004
           4.1887902048            2.5642469467
           4.3633231300            1.1120120865
           4.5378560552            1.0508641948
           4.7123889804            2.1196132947
           4.8869219056            3.8171696106
           5.0614548308            5.4923461657
           5.2359877560            6.4926537352
           5.4105206812            6.5204183962
           5.5850536064            5.6244901991
           5.7595865316            4.1278581363
           5.9341194568            2.4617815637
           6.1086523820            1.0615132222
           6.2831853072            0.3123084592
