         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.3475006592
           0.3490658504            1.0428747988
           0.5235987756            0.8337143525
           0.6981317008            0.1796419513
           0.8726646260            0.0416351768
           1.0471975512            0.8372745304
           1.2217304764            2.8591745968
           1.3962634016            6.2274729986
           1.5707963268           10.7371181968
           1.7453292520           15.7846232960
           1.9198621772           20.2715500439
           2.0943951024           20.6243857189
           2.2689280276           17.7838626731
           2.4434609528           14.4071390423
           2.6179938780           10.8992848210
           2.7925268032            7.5719862251
           2.9670597284            4.6257448020
           3.1415926536            2.2292436667
           3.3161255788            0.6056686858
           3.4906585040            0.0003386895
           3.6651914292            0.5684889823
           3.8397243544            2.2427387360
           4.0142572796            2.8988616526
           4.1887902048            5.4831122827
           4.3633231300            8.5629968996
           4.5378560552           11.9682360843
           4.7123889804           15.4749560897
           4.8869219056           18.7360684598
           5.0614548308           21.3064748291
           5.2359877560           19.0352861767
           5.4105206812           14.2250580016
           5.5850536064            9.2500954635
           5.7595865316            5.0493902081
           5.9341194568            2.0932270211
           6.1086523820            0.4694472512
           6.2831853072            0.0000288805
