         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.1354101552
           0.3490658504            0.4415460641
           0.5235987756            0.5962956514
           0.6981317008            0.6541380387
           0.8726646260            1.0187753355
           1.0471975512            1.7038653921
           1.2217304764            2.6457765938
           1.3962634016            2.6246885789
           1.5707963268            2.6916834588
           1.7453292520            2.7913920669
           1.9198621772            2.9867056269
           2.0943951024            3.3598101607
           2.2689280276            4.0491745311
           2.4434609528            3.0133990839
           2.6179938780            1.6713144449
           2.7925268032            0.8494988577
           2.9670597284            0.4662546433
           3.1415926536            0.3517854750
           3.3161255788            0.3098562423
           3.4906585040            0.2690060900
           3.6651914292            0.2442450008
           3.8397243544            0.3386343463
           4.0142572796            0.6276126136
           4.1887902048            0.7824645953
           4.3633231300            0.7193029452
           4.5378560552            0.9935154014
           4.7123889804            1.4691877127
           4.8869219056            1.3535003125
           5.0614548308            1.1240132463
           5.2359877560            1.0285421950
           5.4105206812            1.0006961435
           5.5850536064            0.9229787222
           5.7595865316            0.7063487289
           5.9341194568            0.4035498303
           6.1086523820            0.1234510034
           6.2831853072            0.0000078765
