         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000183785
           0.1745329252            0.3947727842
           0.3490658504            1.5095994066
           0.5235987756            3.1335104515
           0.6981317008            4.9485158781
           0.8726646260            6.5838714768
           1.0471975512            7.7096333061
           1.2217304764            8.1836725566
           1.3962634016            8.1010507015
           1.5707963268            7.7174730487
           1.7453292520            7.3046788335
           1.9198621772            7.0732935310
           2.0943951024            7.1140281613
           2.2689280276            7.4030563132
           2.4434609528            7.8338430790
           2.6179938780            8.2435076983
           2.7925268032            8.4644461369
           2.9670597284            8.3580398786
           3.1415926536            7.8835726717
           3.3161255788            7.1257221376
           3.4906585040            6.2624761627
           3.6651914292            5.5142585875
           3.8397243544            5.0916765089
           4.0142572796            5.1383552708
           4.1887902048            5.6880456742
           4.3633231300            6.6457938910
           4.5378560552            7.7961435265
           4.7123889804            8.8455794493
           4.8869219056            9.4750325384
           5.0614548308            9.4331846961
           5.2359877560            8.6279963996
           5.4105206812            7.1452138486
           5.5850536064            5.2448744256
           5.7595865316            3.2646804244
           5.9341194568            1.5535240193
           6.1086523820            0.4052537796
           6.2831853072            0.0000000000
