         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.1234615053
           0.3490658504            0.4035393282
           0.5235987756            0.7063434779
           0.6981317008            0.9229760967
           0.8726646260            1.0006935180
           1.0471975512            1.0285343185
           1.2217304764            1.1240158719
           1.3962634016            1.3535160655
           1.5707963268            1.4691798363
           1.7453292520            0.9934655169
           1.9198621772            0.7193659572
           2.0943951024            0.7828557948
           2.2689280276            0.6276388687
           2.4434609528            0.3385398282
           2.6179938780            0.2443158893
           2.7925268032            0.2689877115
           2.9670597284            0.3097932303
           3.1415926536            0.3519403795
           3.3161255788            0.4662940259
           3.4906585040            0.8494831047
           3.6651914292            1.6713275724
           3.8397243544            3.0134122114
           4.0142572796            4.6208351172
           4.1887902048            3.3598127863
           4.3633231300            2.9867056269
           4.5378560552            2.7913841904
           4.7123889804            2.6917097138
           4.8869219056            2.6246754514
           5.0614548308            2.5680801764
           5.2359877560            1.7038863961
           5.4105206812            1.0187910885
           5.5850536064            0.6541537917
           5.7595865316            0.5962982768
           5.9341194568            0.4415066817
           6.1086523820            0.1353681472
           6.2831853072            0.0000341315
