         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000026255
           0.1745329252            0.7873874076
           0.3490658504            2.9836232901
           0.5235987756            6.1451294465
           0.6981317008            9.5050131213
           0.8726646260           12.0937533561
           1.0471975512           13.0734848832
           1.2217304764           12.1068572259
           1.3962634016            9.5105844319
           1.5707963268            6.1088581660
           1.7453292520            2.9018862285
           1.9198621772            0.7126236736
           2.0943951024            0.0025231054
           2.2689280276            0.8938934348
           2.4434609528            3.1892104310
           2.6179938780            6.3974819909
           2.7925268032            9.7280624617
           2.9670597284           12.2170888374
           3.1415926536           13.0704025464
           3.3161255788           12.0137202439
           3.4906585040            9.4152289026
           3.6651914292            6.0838135228
           3.8397243544            2.9489115564
           4.0142572796            0.7742861633
           4.1887902048            0.0000918925
           4.3633231300            0.7438487434
           4.5378560552            2.8450940410
           4.7123889804            5.9091232642
           4.8869219056            9.2581478716
           5.0614548308           11.9482980385
           5.2359877560           13.0689007605
           5.4105206812           12.1891088855
           5.5850536064            9.6078093172
           5.7595865316            6.2012836375
           5.9341194568            2.9908040321
           6.1086523820            0.7770718186
           6.2831853072            0.0000000000
