         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.7187542157
           0.3490658504            3.1908198623
           0.5235987756            7.2009978440
           0.6981317008           11.9013777304
           0.8726646260           16.2310344113
           1.0471975512           19.1486395075
           1.2217304764           19.6519688343
           1.3962634016           17.4757602647
           1.5707963268           13.8051303032
           1.7453292520           10.0543096996
           1.9198621772            7.6305348719
           2.0943951024            6.9331049659
           2.2689280276            6.9182157563
           2.4434609528            7.4350742839
           2.6179938780            9.4717112810
           2.7925268032           12.9107275215
           2.9670597284           16.5735912544
           3.1415926536           19.1979962793
           3.3161255788           19.6766590350
           3.4906585040           17.7795962358
           3.6651914292           14.2206182813
           3.8397243544            9.7961049160
           4.0142572796            5.3927872111
           4.1887902048            1.9784034102
           4.3633231300            0.2363868797
           4.5378560552            0.0886552537
           4.7123889804            0.7807396419
           4.8869219056            2.2638713843
           5.0614548308            4.4344928902
           5.2359877560            6.2113970629
           5.4105206812            6.6686803732
           5.5850536064            5.5813348579
           5.7595865316            3.5257995128
           5.9341194568            1.5674943039
           6.1086523820            0.4424728656
           6.2831853072            0.0000577610
