         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.7944316236
           0.3490658504            3.0006811626
           0.5235987756            6.1546390069
           0.6981317008            9.5144045342
           0.8726646260           12.1217490611
           1.0471975512           13.0935778336
           1.2217304764           12.0773361054
           1.3962634016            9.4780151062
           1.5707963268            6.1585299977
           1.7453292520            3.0415601954
           1.9198621772            0.8471490353
           2.0943951024            0.0034787873
           2.2689280276            0.6562489406
           2.4434609528            2.6764214281
           2.6179938780            5.6869455897
           2.7925268032            9.0476825518
           2.9670597284           11.8385101363
           3.1415926536           13.0803453143
           3.3161255788           12.2566052358
           3.4906585040            9.6750509940
           3.6651914292            6.2726736041
           3.8397243544            3.0784484684
           4.0142572796            0.8479025537
           4.1887902048            0.0024627189
           4.3633231300            0.6900049923
           4.5378560552            2.7853560427
           4.7123889804            5.8862945429
           4.8869219056            9.2802650823
           5.0614548308           11.9903821756
           5.2359877560           13.0908814452
           5.4105206812           12.1735081652
           5.5850536064            9.5826123950
           5.7595865316            6.1966916382
           5.9341194568            3.0056039748
           6.1086523820            0.7877654795
           6.2831853072            0.0001417770
