         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000026255
           0.1745329252            0.4424361087
           0.3490658504            1.5674680490
           0.5235987756            3.5257916363
           0.6981317008            5.5812455909
           0.8726646260            6.6686462417
           1.0471975512            6.2114049395
           1.2217304764            4.4344823883
           1.3962634016            2.2639186434
           1.5707963268            0.7807396419
           1.7453292520            0.0886578792
           1.9198621772            0.2363842543
           2.0943951024            1.9784034103
           2.2689280276            5.3927793346
           2.4434609528            9.7960497806
           2.6179938780           14.2205972773
           2.7925268032           17.7795279729
           2.9670597284           19.6767640550
           3.1415926536           19.1980225344
           3.3161255788           16.5735597484
           3.4906585040           12.9107248960
           3.6651914292            9.4717296596
           3.8397243544            7.4350690329
           4.0142572796            6.9182183818
           4.1887902048            6.9331443485
           4.3633231300            7.6305348719
           4.5378560552           10.0543044486
           4.7123889804           13.8051408053
           4.8869219056           17.4758364043
           5.0614548308           19.6519635834
           5.2359877560           19.1485607425
           5.4105206812           16.2311525589
           5.5850536064           11.9014249895
           5.7595865316            7.2010556050
           5.9341194568            3.1908697469
           6.1086523820            0.7187647177
           6.2831853072            0.0000000000
