         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.6651047517
           0.3490658504            2.4887218178
           0.5235987756            4.9612574289
           0.6981317008            7.4344074070
           0.8726646260            9.3597783456
           1.0471975512            9.7657646397
           1.2217304764            9.0213514139
           1.3962634016            7.3941243626
           1.5707963268            5.1661619399
           1.7453292520            2.8057299217
           1.9198621772            0.9083783175
           2.0943951024            0.0251102807
           2.2689280276            0.4312856108
           2.4434609528            2.0401971749
           2.6179938780            4.4414740944
           2.7925268032            7.0190323254
           2.9670597284            9.1574730795
           3.1415926536            9.7661952217
           3.3161255788            8.9597440596
           3.4906585040            7.2262787822
           3.6651914292            4.9216123810
           3.8397243544            2.5703722378
           4.0142572796            0.7624976689
           4.1887902048            0.0058128567
           4.3633231300            0.5471279155
           4.5378560552            2.2812731975
           4.7123889804            4.7615986667
           4.8869219056            7.3342813444
           5.0614548308            9.3733259249
           5.2359877560            9.7306065711
           5.4105206812            8.8275133848
           5.5850536064            7.0293137828
           5.7595865316            4.7023306329
           5.9341194568            2.3791439557
           6.1086523820            0.6465293401
           6.2831853072            0.0000183785
