         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.7587300766
           0.3490658504            2.8773903148
           0.5235987756            5.8359138262
           0.6981317008            8.8864085976
           0.8726646260           10.8875987212
           1.0471975512           11.8541266096
           1.2217304764           12.6745165503
           1.3962634016           13.4527645928
           1.5707963268           14.2851215619
           1.7453292520           15.0677594401
           1.9198621772           15.1998457126
           2.0943951024           14.4991811909
           2.2689280276           13.5882535130
           2.4434609528           12.6675432227
           2.6179938780           11.7347215014
           2.7925268032           10.8985995656
           2.9670597284            9.8577700313
           3.1415926536            7.9869280992
           3.3161255788            5.5606984291
           3.4906585040            3.1120784962
           3.6651914292            1.0985380212
           3.8397243544            0.0563038445
           4.0142572796            0.4061464496
           4.1887902048            2.2392625742
           4.3633231300            5.0057071415
           4.5378560552            7.6585384534
           4.7123889804           10.0129895829
           4.8869219056           11.8986419596
           5.0614548308           12.5127568785
           5.2359877560           11.7630532705
           5.4105206812           10.1287452461
           5.5850536064            8.1121224344
           5.7595865316            5.6130167647
           5.9341194568            2.8316173502
           6.1086523820            0.7617231465
           6.2831853072            0.0000026255
