         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.3785629481
           0.3490658504            1.4250583111
           0.5235987756            2.9474937865
           0.6981317008            4.6347003820
           0.8726646260            6.0743879784
           1.0471975512            6.8028670455
           1.2217304764            6.4718308959
           1.3962634016            5.1368062259
           1.5707963268            3.2841721354
           1.7453292520            1.5371172706
           1.9198621772            0.3704527790
           2.0943951024            0.0018929855
           2.2689280276            0.4460435455
           2.4434609528            1.5651602346
           2.6179938780            3.1245837520
           2.7925268032            4.7899934476
           2.9670597284            6.1607511707
           3.1415926536            6.8133217860
           3.3161255788            6.4468466393
           3.4906585040            5.1367799709
           3.6651914292            3.3359601200
           3.8397243544            1.6136243365
           4.0142572796            0.4240891157
           4.1887902048            0.0001680320
           4.3633231300            0.3847197453
           4.5378560552            1.4584861754
           4.7123889804            2.9988354363
           4.8869219056            4.6811034665
           5.0614548308            6.0995035100
           5.2359877560            6.8065663749
           5.4105206812            6.4543686963
           5.5850536064            5.0989832749
           5.7595865316            3.2529050576
           5.9341194568            1.5398267864
           6.1086523820            0.3932237393
           6.2831853072            0.0000892670
