         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.7617257719
           0.3490658504            2.8316068483
           0.5235987756            5.6130193902
           0.6981317008            8.1121486894
           0.8726646260           10.1287636246
           1.0471975512           11.7629456249
           1.2217304764           12.5127463765
           1.3962634016           11.8985894496
           1.5707963268           10.0129738298
           1.7453292520            7.6585227004
           1.9198621772            5.0057018905
           2.0943951024            2.2392494467
           2.2689280276            0.4061490751
           2.4434609528            0.0563353505
           2.6179938780            1.0984855113
           2.7925268032            3.1120706197
           2.9670597284            5.5606590465
           3.1415926536            7.9869228481
           3.3161255788            9.8578041628
           3.4906585040           10.8985864381
           3.6651914292           11.7347293780
           3.8397243544           12.6675563502
           4.0142572796           13.5882298835
           4.1887902048           14.4991654379
           4.3633231300           15.1998378361
           4.5378560552           15.0677751932
           4.7123889804           14.2851556934
           4.8869219056           13.4526989553
           5.0614548308           12.6745112992
           5.2359877560           11.8540846016
           5.4105206812           10.8875960957
           5.5850536064            8.8864007211
           5.7595865316            5.8359978422
           5.9341194568            2.8773824383
           6.1086523820            0.7588377221
           6.2831853072            0.0000131275
