         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.1438091293
           0.3490658504            0.5075563817
           0.5235987756            0.9518198382
           0.6981317008            1.3199280458
           0.8726646260            1.5344366352
           1.0471975512            1.5837540246
           1.2217304764            1.4821996901
           1.3962634016            1.2319449201
           1.5707963268            0.8653463748
           1.7453292520            0.4616075086
           1.9198621772            0.1422285784
           2.0943951024            0.0016094314
           2.2689280276            0.0981779417
           2.4434609528            0.4039068982
           2.6179938780            0.8308604343
           2.7925268032            1.2324332630
           2.9670597284            1.4984200282
           3.1415926536            1.5860487115
           3.3161255788            1.4983438887
           3.4906585040            1.2323965061
           3.6651914292            0.8306608963
           3.8397243544            0.4040565518
           4.0142572796            0.0983144678
           4.1887902048            0.0014781565
           4.3633231300            0.1423099689
           4.5378560552            0.4617361581
           4.7123889804            0.8655144068
           4.8869219056            1.2321155776
           5.0614548308            1.4823230886
           5.2359877560            1.5836857616
           5.4105206812            1.5343316153
           5.5850536064            1.3198939144
           5.7595865316            0.9517857066
           5.9341194568            0.5073515927
           6.1086523820            0.1435728343
           6.2831853072            0.0000078766
