         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.4322544202
           0.3490658504            1.5598514739
           0.5235987756            2.9845868486
           0.6981317008            4.2809247781
           0.8726646260            5.1494217527
           1.0471975512            5.4577026951
           1.2217304764            5.1703259827
           1.3962634016            4.3205750770
           1.5707963268            3.0354033983
           1.7453292520            1.6085151138
           1.9198621772            0.4627496011
           2.0943951024            0.0006248691
           2.2689280276            0.3998583775
           2.4434609528            1.4936179890
           2.6179938780            2.8986069791
           2.7925268032            4.2017817104
           2.9670597284            5.1029372777
           3.1415926536            5.4553712512
           3.3161255788            5.2117301155
           3.4906585040            4.3928997216
           3.6651914292            3.1089200198
           3.8397243544            1.6531801174
           4.0142572796            0.4709175312
           4.1887902048            0.0002257930
           4.3633231300            0.4394561664
           4.5378560552            1.6031249626
           4.7123889804            3.0574654736
           4.8869219056            4.3538322836
           5.0614548308            5.1922909144
           5.2359877560            5.4568625352
           5.4105206812            5.1254824451
           5.5850536064            4.2423614363
           5.7595865316            2.9490848394
           5.9341194568            1.5411054049
           6.1086523820            0.4289777964
           6.2831853072            0.0000656375
