         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.8527781071
           0.3490658504            3.3627874776
           0.5235987756            7.3822991113
           0.6981317008           12.6818285674
           0.8726646260           18.9228859023
           1.0471975512           25.7055996109
           1.2217304764           32.5093173183
           1.3962634016           38.7441469675
           1.5707963268           43.6973598647
           1.7453292520           41.1535891914
           1.9198621772           35.7916384762
           2.0943951024           29.6317274655
           2.2689280276           23.2274821870
           2.4434609528           17.0866900663
           2.6179938780           11.7213156993
           2.7925268032            7.5566086724
           2.9670597284            4.9164664013
           3.1415926536            4.0142448810
           3.3161255788            4.9120844421
           3.4906585040            7.5490104759
           3.6651914292           11.7144736467
           3.8397243544           17.0866743133
           4.0142572796           23.2412896907
           4.1887902048           29.6643335483
           4.3633231300           35.8448179759
           4.5378560552           41.2290985674
           4.7123889804           45.2534936308
           4.8869219056           38.6814132738
           5.0614548308           32.4710217774
           5.2359877560           25.6852546124
           5.4105206812           18.9149070081
           5.5850536064           12.6790744181
           5.7595865316            7.3818685294
           5.9341194568            3.3626667047
           6.1086523820            0.8527177205
           6.2831853072            0.0000577610
