         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.2011369186
           0.3490658504            0.8172577194
           0.5235987756            1.7642072553
           0.6981317008            2.7287240108
           0.8726646260            3.1893102000
           1.0471975512            2.9272853141
           1.2217304764            2.3528863316
           1.3962634016            1.7057426245
           1.5707963268            1.0654987310
           1.7453292520            0.5057264082
           1.9198621772            0.1235271428
           2.0943951024            0.0043347002
           2.2689280276            0.2406323130
           2.4434609528            0.8474457168
           2.6179938780            1.7446499069
           2.7925268032            2.6735885138
           2.9670597284            3.1802207195
           3.1415926536            2.9805409532
           3.3161255788            2.4274032685
           3.4906585040            1.7811968649
           3.6651914292            1.1290095726
           3.8397243544            0.5451299101
           4.0142572796            0.1347931627
           4.1887902048            0.0044344692
           4.3633231300            0.2609484309
           4.5378560552            0.9144195927
           4.7123889804            1.8476613938
           4.8869219056            2.7530597690
           5.0614548308            3.1868763616
           5.2359877560            2.9773483454
           5.4105206812            2.4518597997
           5.5850536064            1.8315670797
           5.7595865316            1.1943871446
           5.9341194568            0.6110929685
           6.1086523820            0.1762865625
           6.2831853072            0.0000078765
