         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            1.4143462717
           0.3490658504            5.2731379315
           0.5235987756           10.6143078154
           0.6981317008           16.0440200565
           0.8726646260           20.0913462357
           1.0471975512           21.7280775963
           1.2217304764           20.6768195765
           1.3962634016           17.5189287334
           1.5707963268           13.4139465774
           1.7453292520            9.5770122038
           1.9198621772            6.9906979309
           2.0943951024            6.1893113581
           2.2689280276            7.2778094679
           2.4434609528            9.9582794168
           2.6179938780           13.6069181915
           2.7925268032           17.3002193442
           2.9670597284           20.0419159498
           3.1415926536           20.9056686462
           3.3161255788           19.4425064556
           3.4906585040           16.0725986224
           3.6651914292           11.9176427021
           3.8397243544            8.2737560821
           4.0142572796            6.2330731897
           4.1887902048            6.5028721807
           4.3633231300            9.2800287874
           4.5378560552           14.2216396008
           4.7123889804           20.3067264910
           4.8869219056           25.9093909097
           5.0614548308           29.1500663890
           5.2359877560           28.7465743197
           5.4105206812           24.7660251039
           5.5850536064           18.5019657649
           5.7595865316           11.5983057798
           5.9341194568            5.5415716626
           6.1086523820            1.4480655664
           6.2831853072            0.0002993070
