         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            1.1179982262
           0.3490658504            4.2253954561
           0.5235987756            8.7204192456
           0.6981317008           13.6278670548
           0.8726646260           17.6012407795
           1.0471975512           19.3979806035
           1.2217304764           18.5795912937
           1.3962634016           15.6850800943
           1.5707963268           11.9270472426
           1.7453292520            8.4893437521
           1.9198621772            6.2146710612
           2.0943951024            5.5311458026
           2.2689280276            6.5705811965
           2.4434609528            9.1919984027
           2.6179938780           12.8061932446
           2.7925268032           16.4818930464
           2.9670597284           19.1210533805
           3.1415926536           19.7866149691
           3.3161255788           18.1260676992
           3.4906585040           14.6527598050
           3.6651914292           10.5308458004
           3.8397243544            6.9733118708
           4.0142572796            4.8441811392
           4.1887902048            4.6286827363
           4.3633231300            6.4704813889
           4.5378560552            9.7992502649
           4.7123889804           13.7970227597
           4.8869219056           17.7793678173
           5.0614548308           20.4632272866
           5.2359877560           20.8168374840
           5.4105206812           18.7124967220
           5.5850536064           15.0032561597
           5.7595865316            8.9987012265
           5.9341194568            4.4154238848
           6.1086523820            1.7192980803
           6.2831853072            1.0502051943
