         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.4384926078
           0.3490658504            1.6387582465
           0.5235987756            3.2918569734
           0.6981317008            4.9341701468
           0.8726646260            6.1262862340
           1.0471975512            6.5698828136
           1.2217304764            6.1698590296
           1.3962634016            5.0236314289
           1.5707963268            3.4155022638
           1.7453292520            1.7699098410
           1.9198621772            0.5245354891
           2.0943951024            0.0045342382
           2.2689280276            0.3470569498
           2.4434609528            1.4579531988
           2.6179938780            3.0622858913
           2.7925268032            4.7342068266
           2.9670597284            6.0232432411
           3.1415926536            6.5657607788
           3.3161255788            6.2019190084
           3.4906585040            5.0210610646
           3.6651914292            3.3548820975
           3.8397243544            1.6850248051
           4.0142572796            0.4652438259
           4.1887902048            0.0005119724
           4.3633231300            0.3995433174
           4.5378560552            1.5547606296
           4.7123889804            3.1842823677
           4.8869219056            4.8513251243
           5.0614548308            6.0972324525
           5.2359877560            6.5699983355
           5.4105206812            6.1396500283
           5.5850536064            4.9217174010
           5.7595865316            3.2602065726
           5.9341194568            1.6196603606
           6.1086523820            0.4332074766
           6.2831853072            0.0000105020
