         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.2873583339
           0.3490658504            1.0597200058
           0.5235987756            2.1552413277
           0.6981317008            3.4069720147
           0.8726646260            4.6387016438
           1.0471975512            5.5018137182
           1.2217304764            5.3540295822
           1.3962634016            4.1943252907
           1.5707963268            2.6416256785
           1.7453292520            1.2340584474
           1.9198621772            0.3104075972
           2.0943951024            0.0001417770
           2.2689280276            0.2802090978
           2.4434609528            1.0405643589
           2.6179938780            2.1224330815
           2.7925268032            3.3604429062
           2.9670597284            4.5863701805
           3.1415926536            5.4768137085
           3.3161255788            5.3914088236
           3.4906585040            4.2667181983
           3.6651914292            2.7087675863
           3.8397243544            1.2809603769
           4.0142572796            0.3341972515
           4.1887902048            0.0004673390
           4.3633231300            0.2603655699
           4.5378560552            1.0087853086
           4.7123889804            2.0885378783
           4.8869219056            3.3358445980
           5.0614548308            4.5760388386
           5.2359877560            5.4751937751
           5.4105206812            5.3936536260
           5.5850536064            4.2636463635
           5.7595865316            2.6898009753
           5.9341194568            1.2522164044
           6.1086523820            0.3113186457
           6.2831853072            0.0000131275
