         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000105020
           0.1745329252            0.5607463833
           0.3490658504            2.3737931870
           0.5235987756            5.4794234554
           0.6981317008            9.6114377580
           0.8726646260           14.1423862621
           1.0471975512           18.1191285031
           1.2217304764           20.4056842062
           1.3962634016           20.5975951184
           1.5707963268           19.4844855729
           1.7453292520           16.2759015785
           1.9198621772           14.4909108663
           2.0943951024           11.6634418058
           2.2689280276            9.1430800893
           2.4434609528            7.5007721669
           2.6179938780            7.1211668953
           2.7925268032            8.1229184898
           2.9670597284           10.2697634690
           3.1415926536           12.9367619781
           3.3161255788           13.3601290813
           3.4906585040           15.6057348632
           3.6651914292           17.3010857592
           3.8397243544           19.0587371413
           4.0142572796           20.6428639869
           4.1887902048           21.7163022295
           4.3633231300           15.8893439833
           4.5378560552           11.4438082407
           4.7123889804            7.0575772888
           4.8869219056            3.4845765395
           5.0614548308            1.1350587243
           5.2359877560            0.0878413488
           5.4105206812            0.1715921687
           5.5850536064            1.0760926229
           5.7595865316            2.3994180655
           5.9341194568            1.5872853219
           6.1086523820            0.4604654162
           6.2831853072            0.0000000000
