         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.5230153248
           0.3490658504            2.1885904270
           0.5235987756            5.1011466868
           0.6981317008            9.2207581280
           0.8726646260           14.4207627611
           1.0471975512           20.3183443280
           1.2217304764           26.1409101128
           1.3962634016           30.6749225753
           1.5707963268           33.4353022378
           1.7453292520           34.3059915048
           1.9198621772           33.4151882833
           2.0943951024           31.2359315084
           2.2689280276           28.5999322762
           2.4434609528           26.7339869014
           2.6179938780           26.1177610806
           2.7925268032           26.8294815822
           2.9670597284           28.7097700628
           3.1415926536           31.4454647757
           3.3161255788           34.5763182213
           3.4906585040           37.5998386071
           3.6651914292           40.0268296722
           3.8397243544           41.4392094445
           4.0142572796           41.5564458898
           4.1887902048           40.2681892487
           4.3633231300           37.6644967922
           4.5378560552           33.9966288566
           4.7123889804           29.6280622678
           4.8869219056           24.9580856696
           5.0614548308           20.3622636896
           5.2359877560           16.1412816988
           5.4105206812           12.5019056875
           5.5850536064            9.5657698135
           5.7595865316            7.4103184458
           5.9341194568            6.0852286673
           6.1086523820            5.6143006342
           6.2831853072            6.0553662319
