         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            1.6116919686
           0.3490658504            6.6678428388
           0.5235987756           15.2495201699
           0.6981317008           26.9089449608
           0.8726646260           40.2424173421
           1.0471975512           51.1739774328
           1.2217304764           49.3132305478
           1.3962634016           40.3824825085
           1.5707963268           31.6556202862
           1.7453292520           23.6367766110
           1.9198621772           16.7420748313
           2.0943951024           11.3497549592
           2.2689280276            7.7815457472
           2.4434609528            6.2211245400
           2.6179938780            6.5565925333
           2.7925268032            8.2156747744
           2.9670597284           10.2171248223
           3.1415926536           11.5408099585
           3.3161255788           11.8212527258
           3.4906585040           11.2820433179
           3.6651914292           10.4510463577
           3.8397243544            9.9152842311
           4.0142572796           10.1293989956
           4.1887902048           11.3834742540
           4.3633231300           13.7785943762
           4.5378560552           17.1365430575
           4.7123889804           20.9041090993
           4.8869219056           24.1160563591
           5.0614548308           25.5897231746
           5.2359877560           24.4962970016
           5.4105206812           21.0546027512
           5.5850536064           16.0162422680
           5.7595865316           10.4187343310
           5.9341194568            5.2392926128
           6.1086523820            1.4352032425
           6.2831853072            0.0000052511
