         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            1.3102740828
           0.3490658504            5.1377724099
           0.5235987756           11.1363096972
           0.6981317008           18.7149751939
           0.8726646260           27.0594622422
           1.0471975512           35.2054746288
           1.2217304764           42.1472174893
           1.3962634016           47.0150701352
           1.5707963268           49.2522270585
           1.7453292520           48.7999610784
           1.9198621772           46.1100288280
           2.0943951024           41.9266623737
           2.2689280276           37.0639662096
           2.4434609528           32.2582959022
           2.6179938780           28.0829004656
           2.7925268032           24.9508366646
           2.9670597284           23.1016551063
           3.1415926536           22.6193507822
           3.3161255788           23.5038370510
           3.4906585040           25.7181468747
           3.6651914292           29.1398269395
           3.8397243544           33.5143927955
           4.0142572796           38.4280472865
           4.1887902048           43.3109808035
           4.3633231300           47.4318078512
           4.5378560552           49.9739612167
           4.7123889804           50.1963961900
           4.8869219056           47.6803324169
           5.0614548308           42.5312598555
           5.2359877560           35.3504731095
           5.4105206812           27.0361924370
           5.5850536064           18.6197955731
           5.7595865316           11.0456984462
           5.9341194568            5.0877487611
           6.1086523820            1.3039676322
           6.2831853072            0.0000026255
