         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            1.1628706443
           0.3490658504            4.7239700026
           0.5235987756           10.4916418366
           0.6981317008           18.0096950434
           0.8726646260           26.4034600986
           1.0471975512           31.7848001303
           1.2217304764           28.1461041236
           1.3962634016           21.5038651594
           1.5707963268           14.8196733331
           1.7453292520            9.1504262380
           1.9198621772            5.0943518932
           2.0943951024            3.0214199861
           2.2689280276            3.0604664200
           2.4434609528            5.0794731856
           2.6179938780            8.5200174668
           2.7925268032           12.4913222976
           2.9670597284           15.8750428857
           3.1415926536           17.8233501910
           3.3161255788           17.9986889481
           3.4906585040           16.5965092427
           3.6651914292           14.2171342430
           3.8397243544           11.7008945613
           4.0142572796            9.8234783775
           4.1887902048            9.2077067684
           4.3633231300           10.1444142292
           4.5378560552           12.6161648160
           4.7123889804           16.2074364186
           4.8869219056           20.1262653838
           5.0614548308           23.3004080710
           5.2359877560           24.7428865737
           5.4105206812           24.1201311348
           5.5850536064           13.3516723462
           5.7595865316            8.4866788697
           5.9341194568            4.1354458309
           6.1086523820            1.0979945428
           6.2831853072            0.0000525100
