         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.1548598582
           0.3490658504            0.5340424243
           0.5235987756            1.0331341943
           0.6981317008            1.5719576537
           0.8726646260            2.0878946310
           1.0471975512            2.5343976388
           1.2217304764            2.8843898975
           1.3962634016            3.1318038766
           1.5707963268            3.2851461959
           1.7453292520            3.3910457326
           1.9198621772            3.5491874656
           2.0943951024            3.8777871513
           2.2689280276            4.5259758073
           2.4434609528            5.6550168860
           2.6179938780            7.4028042652
           2.7925268032            9.8483917458
           2.9670597284           12.9593701575
           3.1415926536           16.5365008179
           3.3161255788           20.2127362216
           3.4906585040           23.7196951474
           3.6651914292           26.8282265933
           3.8397243544           29.2253237169
           4.0142572796           30.5702911548
           4.1887902048           30.6031125286
           4.3633231300           29.2394121492
           4.5378560552           26.6041533079
           4.7123889804           22.9993577553
           4.8869219056           18.8377356908
           5.0614548308           14.5601059151
           5.2359877560           10.5399142770
           5.4105206812            7.0478340589
           5.5850536064            4.2467013875
           5.7595865316            2.2010090413
           5.9341194568            0.8823071039
           6.1086523820            0.1951324004
           6.2831853072            0.0000420080
