         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.7634480999
           0.3490658504            2.6890500825
           0.5235987756            5.0015851067
           0.6981317008            6.9991467895
           0.8726646260            8.3243783449
           1.0471975512            8.9247067641
           1.2217304764            8.8959050306
           1.3962634016            8.3327930721
           1.5707963268            7.2883140928
           1.7453292520            5.8476183046
           1.9198621772            4.2771283053
           2.0943951024            3.0103508786
           2.2689280276            2.4551495512
           2.4434609528            2.7414655616
           2.6179938780            3.6366113599
           2.7925268032            4.6957458791
           2.9670597284            5.4134183890
           3.1415926536            5.4257687403
           3.3161255788            4.6212079383
           3.4906585040            3.1907831054
           3.6651914292            1.5818741667
           3.8397243544            0.3707127035
           4.0142572796            0.1367281562
           4.1887902048            1.1169847832
           4.3633231300            3.0848494371
           4.5378560552            5.4558018331
           4.7123889804            7.5615577397
           4.8869219056            9.0085547276
           5.0614548308            9.6738458896
           5.2359877560            9.5665915949
           5.4105206812            8.7130888500
           5.5850536064            7.1582415788
           5.7595865316            5.0277088304
           5.9341194568            2.6770489226
           6.1086523820            0.7520403029
           6.2831853072            0.0009057974
