         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.5354864491
           0.3490658504            2.1335809539
           0.5235987756            4.6644840524
           0.6981317008            7.6290593410
           0.8726646260           10.1506996760
           1.0471975512           11.2380058088
           1.2217304764           10.3842090078
           1.3962634016            7.9653123589
           1.5707963268            4.9186271877
           1.7453292520            2.2018492013
           1.9198621772            0.4924256260
           2.0943951024            0.0016278100
           2.2689280276            0.5711276098
           2.4434609528            2.1845602846
           2.6179938780            4.7121500023
           2.7925268032            7.6475822424
           2.9670597284           10.1441989383
           3.1415926536           11.2367193139
           3.3161255788           10.4010410874
           3.4906585040            7.9937255183
           3.6651914292            4.9443124528
           3.8397243544            2.2106840083
           4.0142572796            0.4846016363
           4.1887902048            0.0035470504
           4.3633231300            0.6190141017
           4.5378560552            2.2817667915
           4.7123889804            4.8231325068
           4.8869219056            7.7202665806
           5.0614548308           10.1465697647
           5.2359877560           11.2307252977
           5.4105206812           10.5288215401
           5.5850536064            8.2934447056
           5.7595865316            5.2974133033
           5.9341194568            2.4717374592
           6.1086523820            0.5953504714
           6.2831853072            0.0000078766
