         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.4915329560
           0.3490658504            1.9031670863
           0.5235987756            3.9529788418
           0.6981317008            6.1431865766
           0.8726646260            7.8165935449
           1.0471975512            8.4260009425
           1.2217304764            7.7751710335
           1.3962634016            6.0970617951
           1.5707963268            3.9207797115
           1.7453292520            1.8757699953
           1.9198621772            0.4763890728
           2.0943951024            0.0005434785
           2.2689280276            0.5197649560
           2.4434609528            1.9563465860
           2.6179938780            4.0302893106
           2.7925268032            6.2279140825
           2.9670597284            7.8750555502
           3.1415926536            8.4226744341
           3.3161255788            7.6956367664
           3.4906585040            5.9581833546
           3.6651914292            3.7609550331
           3.8397243544            1.7386952732
           4.0142572796            0.3967419091
           4.1887902048            0.0077215951
           4.3633231300            0.6148054253
           4.5378560552            2.1094132277
           4.7123889804            4.1682015671
           4.8869219056            6.2845434890
           5.0614548308            7.8577902631
           5.2359877560            8.4261112134
           5.4105206812            7.8228186050
           5.5850536064            6.2195098575
           5.7595865316            4.0662796627
           5.9341194568            1.9798001762
           6.1086523820            0.5211118374
           6.2831853072            0.0000236295
