         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.9252917876
           0.3490658504            3.4130264174
           0.5235987756            6.7645478751
           0.6981317008            9.8529443625
           0.8726646260           11.5535042502
           1.0471975512           10.9321875852
           1.2217304764            9.2052834319
           1.3962634016            7.2274655081
           1.5707963268            5.8728467327
           1.7453292520            5.2684855458
           1.9198621772            5.4154347729
           2.0943951024            6.9261421404
           2.2689280276            9.9875432382
           2.4434609528           14.1476530148
           2.6179938780           18.5777481928
           2.7925268032           22.3039888668
           2.9670597284           24.2240562957
           3.1415926536           23.2021959978
           3.3161255788           19.4756061323
           3.4906585040           14.4637264407
           3.6651914292            9.7523667139
           3.8397243544            6.6800487876
           4.0142572796            5.8534495398
           4.1887902048            6.9371298573
           4.3633231300            8.8450097159
           4.5378560552           11.6483425562
           4.7123889804           15.1951408168
           4.8869219056           18.2885546344
           5.0614548308           19.8591995382
           5.2359877560           19.3724371154
           5.4105206812           16.8227328125
           5.5850536064           12.6917004468
           5.7595865316            7.9448072049
           5.9341194568            3.7529131270
           6.1086523820            0.9532008511
           6.2831853072            0.0000000000
