         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            1.0510138483
           0.3490658504            4.1498309446
           0.5235987756            8.7838276926
           0.6981317008           13.8564220685
           0.8726646260           18.1150983608
           1.0471975512           20.6899050679
           1.2217304764           21.3704241291
           1.3962634016           20.6739078972
           1.5707963268           19.3448614904
           1.7453292520           17.8168468279
           1.9198621772           16.3115611175
           2.0943951024           14.9735748837
           2.2689280276           14.1180058704
           2.4434609528           14.2838849515
           2.6179938780           15.9945398862
           2.7925268032           19.1746135776
           2.9670597284           22.9769097315
           3.1415926536           25.7994454777
           3.3161255788           26.1019188144
           3.4906585040           23.7902160736
           3.6651914292           20.0534208902
           3.8397243544           16.2446187477
           4.0142572796           13.1143035295
           4.1887902048           10.8029027212
           4.3633231300            9.2057717749
           4.5378560552            8.3894172274
           4.7123889804            8.5817613470
           4.8869219056            9.7735781273
           5.0614548308           11.4524382587
           5.2359877560           12.6418710851
           5.4105206812           12.4505614124
           5.5850536064           10.4576652428
           5.7595865316            7.1634663236
           5.9341194568            3.6465620043
           6.1086523820            0.9963430648
           6.2831853072            0.0000288805
