         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.4315665392
           0.3490658504            1.5419770708
           0.5235987756            2.9179989211
           0.6981317008            4.1376906333
           0.8726646260            4.9220508394
           1.0471975512            5.1634104159
           1.2217304764            4.8396101438
           1.3962634016            3.9953937918
           1.5707963268            2.7680146162
           1.7453292520            1.4368809370
           1.9198621772            0.3922444277
           2.0943951024            0.0002100399
           2.2689280276            0.4260608659
           2.4434609528            1.5046739688
           2.6179938780            2.8541520154
           2.7925268032            4.0727620218
           2.9670597284            4.8834953740
           3.1415926536            5.1648885722
           3.3161255788            4.8834428640
           3.4906585040            4.0727830257
           3.6651914292            2.8540259914
           3.8397243544            1.5044928093
           4.0142572796            0.4260188579
           4.1887902048            0.0002205419
           4.3633231300            0.3922339257
           4.5378560552            1.4368966899
           4.7123889804            2.7680513731
           4.8869219056            3.9954279234
           5.0614548308            4.8396495264
           5.2359877560            5.1634025394
           5.4105206812            4.9220167078
           5.5850536064            4.1375436052
           5.7595865316            2.9179359090
           5.9341194568            1.5419193098
           6.1086523820            0.4315166546
           6.2831853072            0.0000393824
