         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            1.6249087347
           0.3490658504            6.2775255278
           0.5235987756           13.3116334732
           0.6981317008           21.7678302896
           0.8726646260           30.5201126015
           1.0471975512           38.5013722465
           1.2217304764           45.0400483687
           1.3962634016           49.9130312412
           1.5707963268           53.0537880723
           1.7453292520           54.3393903330
           1.9198621772           53.2895369556
           2.0943951024           49.9663446414
           2.2689280276           45.2568910275
           2.4434609528           40.3459959369
           2.6179938780           36.2252397777
           2.7925268032           33.4124997714
           2.9670597284           31.9260677756
           3.1415926536           31.4895915517
           3.3161255788           31.9266453856
           3.4906585040           33.4125522814
           3.6651914292           36.2252817858
           3.8397243544           40.3459723074
           4.0142572796           45.2569907965
           4.1887902048           49.9662921313
           4.3633231300           53.2892560272
           4.5378560552           54.3391461615
           4.7123889804           53.0537250604
           4.8869219056           49.9127529384
           5.0614548308           45.0397464362
           5.2359877560           38.5008576484
           5.4105206812           30.5195586210
           5.5850536064           21.7673235681
           5.7595865316           13.3112317718
           5.9341194568            6.2771343283
           6.1086523820            1.6246855673
           6.2831853072            0.0001969123
