         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            1.3123666062
           0.3490658504            5.3420205457
           0.5235987756           11.8841544512
           0.6981317008           20.2533632063
           0.8726646260           29.2456503367
           1.0471975512           37.6270702915
           1.2217304764           44.6819433154
           1.3962634016           49.8886797301
           1.5707963268           52.9637150488
           1.7453292520           54.0613078901
           1.9198621772           53.0321198221
           2.0943951024           49.4796347287
           2.2689280276           44.6415998847
           2.4434609528           39.9051403793
           2.6179938780           36.0453063958
           2.7925268032           33.3614705561
           2.9670597284           31.8893396581
           3.1415926536           31.4895863007
           3.3161255788           31.8893291562
           3.4906585040           33.3614889347
           3.6651914292           36.0453825354
           3.8397243544           39.9052138932
           4.0142572796           44.6417206576
           4.1887902048           49.4797266211
           4.3633231300           53.0321618301
           4.5378560552           54.0614234120
           4.7123889804           52.9636599133
           4.8869219056           49.8885852121
           5.0614548308           44.6818251680
           5.2359877560           37.6269416421
           5.4105206812           29.2455085597
           5.5850536064           20.2532161783
           5.7595865316           11.8840441804
           5.9341194568            5.3419549083
           6.1086523820            1.3123351001
           6.2831853072            0.0000078764
