         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.1447726876
           0.3490658504            0.6108304184
           0.5235987756            1.4481075743
           0.6981317008            2.6428360338
           0.8726646260            3.9680308323
           1.0471975512            5.0795834564
           1.2217304764            5.6535387295
           1.3962634016            4.9831961057
           1.5707963268            4.4608844147
           1.7453292520            4.2571324982
           1.9198621772            4.3264273161
           2.0943951024            4.5530578383
           2.2689280276            4.8652218950
           2.4434609528            5.2230486452
           2.6179938780            5.6087713313
           2.7925268032            5.9734322576
           2.9670597284            6.2434990495
           3.1415926536            6.3397472490
           3.3161255788            6.2356409286
           3.4906585040            5.9454496801
           3.6651914292            5.5497894771
           3.8397243544            5.1298013922
           4.0142572796            4.7442703675
           4.1887902048            4.4284542405
           4.3633231300            4.2537718584
           4.5378560552            4.3647963709
           4.7123889804            4.8068386546
           4.8869219056            5.4426165728
           5.0614548308            5.4334824588
           5.2359877560            4.6835583087
           5.4105206812            3.5963913274
           5.5850536064            2.4102692565
           5.7595865316            1.3449018004
           5.9341194568            0.5815324655
           6.1086523820            0.1416037093
           6.2831853072            0.0000000000
