         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.9347960970
           0.3490658504            3.6720319784
           0.5235987756            7.8846465011
           0.6981317008           12.2333091755
           0.8726646260           14.8048445098
           1.0471975512           16.1439754615
           1.2217304764           15.5999246319
           1.3962634016           13.0336035404
           1.5707963268            9.2235779149
           1.7453292520            5.3981511073
           1.9198621772            2.6367369977
           2.0943951024            1.5924549311
           2.2689280276            2.3781252617
           2.4434609528            4.4332011443
           2.6179938780            7.4540251419
           2.7925268032           11.1922853542
           2.9670597284           14.8023975439
           3.1415926536           17.1937526994
           3.3161255788           17.4652346358
           3.4906585040           15.6579429278
           3.6651914292           12.6582568296
           3.8397243544            9.4823261770
           4.0142572796            6.9588217371
           4.1887902048            5.6463501109
           4.3633231300            5.7528298831
           4.5378560552            7.2199329490
           4.7123889804            9.6793988218
           4.8869219056           12.5966389735
           5.0614548308           15.2030173164
           5.2359877560           16.4877557875
           5.4105206812           15.0262476619
           5.5850536064           11.2045149325
           5.7595865316            7.0332835386
           5.9341194568            3.3949577273
           6.1086523820            0.9036261628
           6.2831853072            0.0000000000
