         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.5112767149
           0.3490658504            1.9154675531
           0.5235987756            3.9280996050
           0.6981317008            6.1715446005
           0.8726646260            8.2814724262
           1.0471975512            9.9238276076
           1.2217304764           10.8864802582
           1.3962634016           11.1565680541
           1.5707963268           10.8953229417
           1.7453292520           10.3656913573
           1.9198621772            9.8554648423
           2.0943951024            9.6029967759
           2.2689280276            9.7648483402
           2.4434609528           10.3811870574
           2.6179938780           11.3603147196
           2.7925268032           12.5057205389
           2.9670597284           13.5413305794
           3.1415926536           14.1961407461
           3.3161255788           14.2899603581
           3.4906585040           13.7916483615
           3.6651914292           12.8297991138
           3.8397243544           11.6501042665
           4.0142572796           10.5157570527
           4.1887902048            9.6603324418
           4.3633231300            9.2343687193
           4.5378560552            9.2780990449
           4.7123889804            9.7047979075
           4.8869219056           10.2488592391
           5.0614548308           10.5412454053
           5.2359877560           10.1817803432
           5.4105206812            8.9482811272
           5.5850536064            6.8904353423
           5.7595865316            4.4213706419
           5.9341194568            2.1303279595
           6.1086523820            0.5554166185
           6.2831853072            0.0001102709
