         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.3967655386
           0.3490658504            1.5557977020
           0.5235987756            3.2854953872
           0.6981317008            5.3102861290
           0.8726646260            7.2701508848
           1.0471975512            8.8348254019
           1.2217304764            9.7525399969
           1.3962634016            9.9888664901
           1.5707963268            9.7384331861
           1.7453292520            9.3123801966
           1.9198621772            9.0083998230
           2.0943951024            9.0213697923
           2.2689280276            9.4345683345
           2.4434609528           10.2347077948
           2.6179938780           11.2949529006
           2.7925268032           12.4125520509
           2.9670597284           13.3551563845
           3.1415926536           13.9228708444
           3.3161255788           14.0012157602
           3.4906585040           13.6031033401
           3.6651914292           12.7725185835
           3.8397243544           10.5548113631
           4.0142572796            9.0498827207
           4.1887902048            7.7449830361
           4.3633231300            6.9025572751
           4.5378560552            6.6340657831
           4.7123889804            6.8713322053
           4.8869219056            7.2578635454
           5.0614548308            7.4758377947
           5.2359877560            7.2029879729
           5.4105206812            6.2980963192
           5.5850536064            4.8449084026
           5.7595865316            3.1303966086
           5.9341194568            1.5372354180
           6.1086523820            0.4126340597
           6.2831853072            0.0001365260
