         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.8711828610
           0.3490658504            3.2277448924
           0.5235987756            6.3217888300
           0.6981317008            9.1326831099
           0.8726646260           10.6703307314
           1.0471975512           10.1851226046
           1.2217304764            8.3086227203
           1.3962634016            5.7604700878
           1.5707963268            3.2477879584
           1.7453292520            1.4215322649
           1.9198621772            0.7299047136
           2.0943951024            1.0650655236
           2.2689280276            2.5666387770
           2.4434609528            4.9284544337
           2.6179938780            7.5197729093
           2.7925268032            9.6477510466
           2.9670597284           10.7351621994
           3.1415926536            9.9536349076
           3.3161255788            7.5918297530
           3.4906585040            4.5116064466
           3.6651914292            1.7331580941
           3.8397243544            0.1704238213
           4.0142572796            0.2927511107
           4.1887902048            2.2456924234
           4.3633231300            5.7982877877
           4.5378560552           10.2701389155
           4.7123889804           14.6901994330
           4.8869219056           17.9987230796
           5.0614548308           19.5886391523
           5.2359877560           19.4329837677
           5.4105206812           17.7799034194
           5.5850536064           12.5708513139
           5.7595865316            7.8778359545
           5.9341194568            3.7194616334
           6.1086523820            0.9469626634
           6.2831853072            0.0000236295
