         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.2229128145
           0.3490658504            0.9356178785
           0.5235987756            2.1991475619
           0.6981317008            3.9221764775
           0.8726646260            5.6417764901
           1.0471975512            6.1685909132
           1.2217304764            6.3616071609
           1.3962634016            6.3317683550
           1.5707963268            6.0646079914
           1.7453292520            5.5628880959
           1.9198621772            4.8572535030
           2.0943951024            3.9795095178
           2.2689280276            2.9598152574
           2.4434609528            1.8644120830
           2.6179938780            0.8414884576
           2.7925268032            0.1548966152
           2.9670597284            0.0194812090
           3.1415926536            0.4745407209
           3.3161255788            1.3909084345
           3.4906585040            2.5553123707
           3.6651914292            3.7096002559
           3.8397243544            4.6640350919
           4.0142572796            5.3579704575
           4.1887902048            5.8448720317
           4.3633231300            6.2065215097
           4.5378560552            6.3751284851
           4.7123889804            5.9828788063
           4.8869219056            5.1742616069
           5.0614548308            4.2557856169
           5.2359877560            3.3442383211
           5.4105206812            2.5058978378
           5.5850536064            1.7539678059
           5.7595865316            1.0949962220
           5.9341194568            0.5431266537
           6.1086523820            0.1469859841
           6.2831853072            0.0000183785
