         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1795195802            0.9469495359
           0.3590391604            3.7194248764
           0.5385587406            7.8779698550
           0.7180783208           12.5708775689
           0.8975979010           16.6478167609
           1.0771174812           19.1099685201
           1.2566370614           19.6991490668
           1.4361566416           18.6757476006
           1.6156762218           16.4157120715
           1.7951958021           10.2701257880
           1.9747153823            5.7983061662
           2.1542349625            2.2456635429
           2.3337545427            0.2927747403
           2.5132741229            0.1704579528
           2.6927937031            1.7331449666
           2.8723132833            4.5116011957
           3.0518328635            7.5919006415
           3.2313524437            9.9535692701
           3.4108720239           10.8101963599
           3.5903916041            9.6477379191
           3.7699111843            7.5196363834
           3.9494307645            4.9285331987
           4.1289503447            2.5666361516
           4.3084699249            1.0650655236
           4.4879895051            0.7814905349
           4.6675090853            3.2478483448
           4.8470286655            5.7605961118
           5.0265482457            8.3086463498
           5.2060678259           10.1851619871
           5.3855874062           10.7796092865
           5.5651069864            9.1327277434
           5.7446265666            6.3217389455
           5.9241461468            3.2277763984
           6.1036657270            0.8711986141
           6.2831853072            0.0000183785
