         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.2580682574
           0.3490658504            0.9751316513
           0.5235987756            1.9988691817
           0.6981317008            3.1357473772
           0.8726646260            4.1450892918
           1.0471975512            4.8264196325
           1.2217304764            5.0335453163
           1.3962634016            4.8590650979
           1.5707963268            4.5686428054
           1.7453292520            4.3609972726
           1.9198621772            4.3013012824
           2.0943951024            4.4084925651
           2.2689280276            4.6383550777
           2.4434609528            4.9542998542
           2.6179938780            5.3079153025
           2.7925268032            5.6394923052
           2.9670597284            5.8928031570
           3.1415926536            5.9898757634
           3.3161255788            5.8957830994
           3.4906585040            5.6356223184
           3.6651914292            5.2955833298
           3.8397243544            4.9415583033
           4.0142572796            4.6426398935
           4.1887902048            4.4336369773
           4.3633231300            4.3463391070
           4.5378560552            4.4266111397
           4.7123889804            4.6281786403
           4.8869219056            4.9012306256
           5.0614548308            5.0652587292
           5.2359877560            4.8707590741
           5.4105206812            4.1888537489
           5.5850536064            3.1765581470
           5.7595865316            2.0261901332
           5.9341194568            0.9847724868
           6.1086523820            0.2573252411
           6.2831853072            0.0001680319
